ID,label,review
1479,Positive,Gg bht ziadaMyn gawahh hun apki sharafat kii
1480,Negative,Moral Aj Ghalib Sahab ka B P high hai D
1481,Negative,Bilkul he third class t shirts thi ye kyunke inki quality bilkul third class thi Maine ye medium size ki mangwaayi thi aur itni bari aur loose aayi thi ye tou ye meray kisi kaam nahi aayi Bilkul udaas hu iski quality se aur majboori mai ye mjhe phenkni he ar gayi
1482,Positive,Wo sada bahar naghme jo aaj bhi kaano mein rus gholte hain unhe khud par picturize karwana bohat acha laga
1483,Negative,All topi drama
1484,Negative,Main nahi janta Main nahi manta Aese dastoor ko
1485,Positive,Scheme33 Ka Rihaishi Plot Baichna Chahain To Mukamal Aitamad K Sath Rabta Karain
1486,Positive,4 April 2005 ko China ke Wazir e Azam sarari dore par Pakistan phonche to un ke pur tapak istaqbal kiya gaya
1487,Negative,Astaffirullah Allah pak lanat Kara and ghark Kara AMEEN SUM AMEEN
1488,Negative,Nah baba muhnjo mike toore chadndia tun Hi mayi ta po bhaji wai tun haru baru matho pharndia muhnjo
1489,Positive,Ya Allah madad
1490,Positive,Good
1491,Negative,tmhe Allah ne bhut handsom bnaya ha isi lie kam show mara kro
1492,Positive,Jo Jhuk Gaya ALLAH K Sajdey Main Ussey Sb Kuch Zaroor Milta Hy
1493,Negative,Belowo to kud hejra hy
1494,Negative,Ubqari k live honay Ka notification q nae milta
1495,Positive,Ji yeh ek achi insan he Gareebu ki hamderdi rekhti he aur seb logu se pyar kerti he
1496,Positive,India Nay 1st Test Match Mein South Africa Ko 108 Runs Say Shikst Diye Kar 4 MatchO n Ki Sereis Mein 1 0 Ki Bartari Hasil Karli
1497,Positive,Bhtttt hi acha result hai i bought it every weekend
1498,Negative,bhai ismen to nawaz sharif ganja zaleel ho raha hai D
1499,Positive,bhaiii aaap apne cover faattuu ki gehri baaten smjha den 3
1500,Positive,Nabi S A W W ko b bin daikhay maanay baithay hai pr qurbaan hain bin daikhay deedaar kaa aaalam kia hoga
1501,Positive,Judge ne Pervez Musharraf ke samne sar jhukane se inkar kar diya
1502,Positive,Jab Pakistan mein Zulfiqar Ali Bhutto ki hukoomat thi to Hafeez Sahab chand wajohaat se is hukoomat se bohat shaki the
1503,Positive,Hoodie ki quality achi ahi pehnay mein bhi garam hai aur dekhnay mein pasand ayi mujhay
1504,Negative,or ye rhi apky hisy ki lanat
1505,Positive,skin k lie product best hai
1506,Positive,Sanam Baji Nice Picture Ha Ap ki Nice He Ap Api
1507,Negative,Alla Musharraf ko taba Karin ye sub zulam us na Kia awr Pakistani madaris ma begonah tulba ko shaheed kia Americans ko hush karny k liay Musharraf Pakistan ko Aa kar pansy dia jay
1508,Positive,Zero point k bad se bhi agy jayengy ka jawab
1509,Positive,yr achanak dikhne wali chez k sath aise e hota MA pyari b to bht ay
1510,Positive,Beshak inki baatoon main asar ha jo b sunta ha aahkoon m aanso aa jatey hainAllah pak inko ajr e azeem ata farmaye or hamesha salamat rehkey ameen
1511,Positive,3 September 1990 ko Benazir Bhutto aur unkay 10 wazra kay khelaf references pesh kiye gaye aur in kay sohar Ali Zardari Per kaye muqadmat qayem kar kay inhein jail bhaj dia gaya
1512,Positive,Wo batate hain ke in ke waldain ki mulaqat khasey filmy andaaz mein hui thi
1513,Negative,Bajaye ke apni caste walay areas mei kaam karei
1514,Positive,Mehdi Hasan aur Noor Jahan jese manjhe howe golokaron ke sath sath Rona Laila aur Ikhlaq Ahmed jesi nikhez awazon ko bhi nikharne sawarne ka muqa diya
1515,Negative,Mulzim Muhsin Ali Ne Imran Farooq K Qatal Ka Aitiraf Kar Lia Muazzam Ali Ne Saholatkar Ka Kirdar Ada Kia Scotland Yard Ko Bayan
1516,Negative,Dil halak main agaya
1517,Positive,Maza aa jata hy drama daikh k
1518,Positive,Indies Ko Hara Kar World Cup 6th Martaba Jeet Lia
1519,Negative,Yani hmain b khala g NY bigara hy
1520,Negative,Socrate ny zehar ka payala peya tha ap wo pee ly coco cola nhi mil rhi tu kessa idea ha
1521,Positive,Plzz meray liye or meri family k liye b Dua kijeye ga
1522,Negative,Sheikh For Your Kind Information TUmhary Ghar se Kutty Liye Jatein Bhool Gyae
1523,Negative,Seetv one year se band he korangi Karachi me
1524,Positive,Such Me Wo Log Sirf Kaha Karte The
1525,Positive,Bhot bhot enjoy kia awaz bhot pyiari ha Allah ap ko mazeed kamyabian ata farmay ameen
1526,Positive,mere dost k pas aulad nhi khas fua kruy
1527,Positive,1976 mein Oval test mein Asif Iqbal ke sath mil kar nawen 9th wicket ki sharakat mein 190 runs jor kar alami record banaya jo 30 saal qaim raha
1528,Positive,Birthday of Aussies magical leg Spinner Shane warne He was the Second highest wicket taker in Test cricket with 708 scalps
1529,Negative,Yaha ke hukamran meer jafar aor meer sadiq se be badtar he
1530,Positive,Elect ho k ana chahye
1531,Positive,Katni payri hai sanam app ki nani Pari so quite
1532,Negative,Duniya mien khatoon jahan nazakat ki alamat hai wahan mazlomiyat ka istaarah bhi hai
1533,Positive,Majida Rizvi ne apne liye apni jid o jehad aur mehnat se aik buland aur qabil e fakhar muqam hasil kiya Majida Rizvi Pakistan ki pheli khatoon Judge hone ka ezaz hasil hai aur apne shube ki wo behad laiq aur muhtaram shakhsiyat hain
1534,Negative,Ye to hmara hal tha paperz me
1535,Negative,baita sab sy bara tharki tu he hai mujh par b tera asar huwa hai
1536,Positive,Hahahaha kasam sy es semester k haalaat kuch aisy hai made my day
1537,Positive,haHaaa chawAL kmaL kR DyAa
1538,Positive,Aap ne Ayoub Khan ke mashal law ke khilaf bhi sada e haq buland ki
1539,Positive,Chief Justice of Pakistan Janab Iftikhar Muhammad Chaudhry ke horf e inkar ne unhen ray aama ke mehbob banna deya
1540,Positive,Phir 1908 mein America ki socialist party ne khawateen women ke masail hal karne ke leye Women National Commission banaya jis ne khawateen women ke almi din ke leye sifarishat mauratab kein ta ke khawateen women ke haq e ray dahi ke leye aik munazam muhim ka aghaz kiya jaye
1541,Positive,Tarana is qadar maqbol howa ke Pak Foj ke band mein shamil kar leya gaya
1542,Positive,ALLAH Momino Ka Difaa Karta Hy
1543,Negative,jahalat dekho
1544,Positive,Jaya Prada ka shumar aesi khush qismat khuwateen mein hota hai
1545,Positive,hahahhaa shokhi
1546,Negative,Bad aza General Zia ul Haq ke daur mein inhe majboran jila watni ikhteyar karni parhi
1547,Negative,shame on u yai ap ki karstani hai
1548,Negative,wo jo apka leader hai jo Madina ka kanoon lana chahta hai osy tou islam ke alif bey nahi pta ye nahi janty k hamary mazhab mai kisi ke aib tarashi bhe mna hai os ny jo kia osy oski saza mil rahi hai
1549,Positive,Main ne kae serials mein negative roles bhi play kiye hain aur in ka acha response mila
1550,Negative,Abqari waly reply nhe karty shoaib Malik khuda ka khoff Karo es bandy ko reply na dain
1551,Positive,Ay Allah hamin bi tasbeeh khane ki barkate naseeb farma
1552,Negative,Elaj Zindage Hy
1553,Negative,behan pakistani sar zameen par humary hukamran mai koi bi mard kabacha nh jo apko amrica ki qaid say reha karen Allah apko apny hifzo aman mai rakhen Ameen
1554,Negative,Allah puchay GA
1555,Negative,Drone bhi NVinez ka hi tha p
1556,Negative,Zamanae talib e ilmi mein he Haider Bakhsh Jatoi ki hari tehreek se wabista hue aur pehli baar 1954 mein giriftar hue
1557,Negative,Baba Ahstgi Sy Bola Phr Pta Ni Mery Bchon Ki Call Q Nhi Ati
1558,Positive,Aay ehl e zamana qdr Karo
1559,Negative,Ho sakta ha ke Wazir e Azam Shaukat Azizki apni mali position phele se bhetar hogai ho lekin un ke dor e hukumat mein awam ki halat din badin abtar hoti chali ja rahi hai aur log khudkushiyan karne par majboor hen
1560,Negative,Amir bht waqar hdi lanti bhao lanti bhai
1561,Negative,Goli kis ko lag gai
1562,Negative,Taqseem Hind ke bad Saghar Siddiqui sher likhta tha sher pharhta tha sher khata tha aur sher hi peta tha
1563,Negative,Hr jaiya gee
1564,Positive,Good idea
1565,Positive,allah nazre bud se bechye
1566,Positive,Aap ka daira e tehrir sirf baron tak hi mehdod na tha balke bachon ke leye bhi aap ne bohat si kahaniyan likhein
1567,Negative,Soo sad
1568,Positive,Nasir Iqbal Jahan tak Misr ki baat hai to Misr se taluq rakhne wale khilari kafi ache ja rahe hain Misr mein junior khilariyon
1569,Negative,Chhhannn Se jo tootay koi sapnaaJagg soonaa soonaa lagay
1570,Negative,MQM R Committee Pakistan Or London Ka Hangami Ijlas MQM K Intikhabi Dafatir Pr Rangers K Chahpo K Khilaf Ahtijaj Ka Faisal
1571,Positive,good
1572,Positive,Good but it s bad that umar akmal is not in the team
1573,Negative,Karachi ki baat hi nahe horahi Lahore mei abhi paani ki waja sey problems dekho Nawaz sharif ne punjab mei bhi kya kardiya 18 ghante light nahe hoti wahan Paani ka problem ab bhi hai Lougo ke saath khela hai sirf Agar aapko yaad ho toh Sindh kpk aur balochistan bhi Pakistan ke hissay mei aatay hain khaali Punjab nahe
1574,Negative,Lanat h is insan py marny ka khoooof nai in logo me insaniyat or eman sab baaijh chuky hain aisy Show s ko block krdena chahiye hamesha k liye apni bv beti nachaain aisy la k tu pata chaly
1575,Positive,Ghalib hama jahat takhliqi fankar the
1576,Negative,Aur Imran khan ki bhi lout li
1577,Negative,aaj ke bad main apne garden se peach ke sary Trees ko aag laga donga
1578,Positive,boht din baad lekn boht achi
1579,Positive,Tehreek e azaadi poetry aur bil khusoos huqooq e niswa an ke hawale se zarin khidmaat ke sabab in ka yom e paidaish Bharat mein Yom e Khuwateen ke taur par manaya jata hai
1580,Negative,Inhi jahilon ki Waja say Nawaz shreef select hota hai
1581,Positive,1997 kay intikhabat mein people s party hayrat angaiz tour per nakam rahi aur qaumi assembly mein sirf 18 nisahshtain hasil kar sakein
1582,Negative,Fauji hai yaa kuch dino se darr ke maaray hogaya hai
1583,Negative,Khuda ki lanat esy logo pr
1584,Negative,Sms nahi mil rahy 16 din sey
1585,Negative,Itni corruption ki apke leader ne demmak ki trha khaya humme 10 time k sath Koi ik waja bta do
1586,Positive,Khuda jnnt main aala moqaam atta frmaye
1587,Negative,Jo last line thi ussi khoof ki bharhaas nikali hai Aunty ne
1588,Negative,Lanat br sahir
1589,Positive,Iss zamane mein ala Musalman gharano ke noujawano ko horse riding daston mein Junior Commissioned Officer liya jata tha
1590,Negative,mam farkhanda se gila karty huway
1591,Negative,ahaahaaha woh din yaad hai jab tu academy nahi aa raha tha and i said jaldi aaja new bachi ai hai and OUT OF NOWHERE ALI SHOWED UP
1592,Positive,Sarojini Naidu ne virsa mein Maa aur Baap dono ki khobiyan paai
1593,Negative,Johar Blk 12 Me Flat Me Aag Lag Gaye Fire Briged Talab
1594,Negative,Soooooo heartbreaking Ya Allah in yahodyun ko gharq krdey
1595,Negative,Main ki kitaa ay Main v meesni nahi hun Mn v sare aamm he ahooo
1596,Positive,Gharelo khawateen ye baat janti h na thein ke wo ghar se bahar bhi koi khidmat injam de saktein hain
1597,Negative,bht farigh hai jag kr ibadat krleti
1598,Negative,Angrez khilafat tehreek ke bad tareen mukhalif the
1599,Negative,lo dmg ho apk tou bnao be Khali fltu km kn krta h
1600,Negative,Bs whe azeem din thy har ghatia gana public m b sath gaya
1601,Positive,Good
1602,Positive,Start video so funny but last nice message
1603,Positive,Shukria
1604,Negative,acha hua me aj nahi ai warna aisa manhoos din guzarta
1605,Positive,Bht he acha zabardast very happy
1606,Negative,Mujy to aaj tk samaj nahi aaya k wo kon log hen jo k morning show dakhtay hen hm logon ko pta nahi kb shaur ayga
1607,Positive,Bhai lajawab
1608,Positive,buht hi achha fone hai me 6 months se use ker rahi koo issue nhi non stop use kren phir b heatup nhi hota thanxx huawei
1609,Positive,Alam e Islam k bhetreen shaks he
1610,Positive,kamaal ki shakhsiyat hain ALLAH ka bohat karam hai in par
1611,Negative,Behan tu sirf hans lyn phas mat agar agla tumhain dakh kr roye ga bht
1612,Negative,Hahahahah tje prhana na prhana brabr e h is liye tu tw rhny e dy
1613,Positive,Waqi g is main koi shak nahe g bohat hi zabardast insan thay g
1614,Negative,daanthon mein rakne par aisa lagtha hai jaise rait chaba raha hoon feels crushed stones when put it in the mouth 1st time user don t know if this is normal or not
1615,Negative,gunnah to mila hoga
1616,Negative,Nazir sahb ki demand hai agr ap us ko study karin to ap ko pata chaly ga k tamam employees admn accounts techncial non technical tamam ki up gradation ki safarsh ki gai hai ure protest ho rha hai
1617,Positive,Allha zindagi kary
1618,Negative,mushraf harami ha
1619,Positive,MashAllah in ko lambi or seht wali zindge day Allah
1620,Positive,walid Aghomath ne jab dekha ke in ki beti Science ya math s ke bajae poetry mein ziyada dilchaspi rakhti hai to inho ne is ki hausla afzaai ka faisla kiya
1621,Negative,Iska mtlb khoo mn gya tumhara BS and mera MS wo b NUST se Kuch b mtlb kuch b
1622,Positive,Allah pak ap ko lambi aur barkat wali zindgi atta farmay
1623,Positive,Chha gya mery cheetah
1624,Negative,bijli bhari hai mere sb se bahaduri ka kam krti hai bechari hm ko bardhast krti hai
1625,Positive,Ek Wohi Tu Nazar Aata hy Jab Kuch Bhi Nazar Nahi Aata
1626,Negative,jaani ao mardon mai parho p NO COMBINE
1627,Positive,25 January 1949 ko jab Punjab assembly tor kar Governor raj nafiz kiya gaya to Hameed Nizami ne mulk ke mafad mein General Gracey ko Pakistan ke Commander In chief ke uhde se subogdosh karne ka mutalba kar deya
1628,Negative,Nahh baba saaas saas hi rahygii
1629,Positive,Saif tumhry kapry nusrat api pehan sakti hain nhi na tu phir
1630,Negative,hmmm jb likes chahiyen toh video pe video bnatey hey or request karte hey ke like us
1631,Negative,Oye insan ban
1632,Positive,Allah pak k dushman kamyzb ni ho sktay
1633,Positive,Itne ache batain batana k lia
1634,Negative,Wak ni maa main badl gi hna
1635,Positive,azad kashmir government ko b yeh notification adopt Ker Lena chaiea Ta k Ak main b khushi key lehar ho our malazmine road pey na aain
1636,Positive,mre walidain ki achi sehat or zindagi k lie dua frma dy jb tk zinda rhy khush khurram rhy or mohtajgi sy hifazat frmae
1637,Positive,Mere liye dua farmana muje rohaniat mil jay
1638,Negative,6 December 1971 raat 11 baje dushman ke tank ka aik gola un ke sene ke daein janib alaga aur wo wahein par Shaheed ho gaye
1639,Negative,reason ka sade baab sazzaa hai ju nahi hai
1640,Negative,Landhi Or Sultanabad Me Firing 2 Afrad Janbahaq
1641,Negative,Mobile mai signal or Rishton mai bharosa na ho to log Games khelna shuru hojaty hain
1642,Negative,Woh moh Tor Den ge
1643,Negative,Amir Yahya Khan ki banai hui Fauji adalat ne 1970 mein Jahangir Badar ko aik saal qaid ba mushaqqat ki saza di jo bad naam zamana Shahpur jail mein guzari
1644,Negative,aur iss ilaqay ki faslain tabah o barbad ho gain Log qahat ka shikar ho gaye to
1645,Negative,Aja Aja jLdi se Delhi ki sadko pe fir se awaaragardi krenge
1646,Positive,Lekin kehte hai Nusrat Fateh Ali Khan ne apne walid ki wafat ke 10 din bad he unhe khuwab mein dekha jis mein unho ne Nusrat ko gaeyki ki takeed ki
1647,Negative,sheetan aur munafuq loog jo aamun nahi chhahtay wo munfaaqat deekha rahey hai
1648,Negative,Mohammad Hafeez Main ne board se esi oi baat nahi kit hi
1649,Positive,Mere bhi kuch usool hain lekin is tarah ke nahi ke shor na karo ya mauseeqi na suno
1650,Positive,Aj he milay hain mjhy ye 3 shorts really jesa pic me ha same to same ha quality se dar rha tha me but quality b wesy he hai jesi dikhai ha first experience with daraz pk and loved it agar koi info chahye yaqeen na aye to contact me itz sheri sr7 insta
1651,Negative,ye din aa gaye hain ab tu
1652,Positive,Master Inayat Hussain ne in gramophone companies mein nihayat umdah aur arfa kaam kiya
1653,Positive,Test cap hasil kar lene par bowler ki khuwahish hoti hai bas jald azjald apna phela wicket hasil kar le
1654,Positive,Maidan Sajh Gaye
1655,Positive,Jahan Football dekhna aur kheelna aik abdat ki se ahmiyat rakhta hai
1656,Negative,Us waqat urton ko samaji khidmat aur hajatmandon ki imdad ka koi tajurba na tha
1657,Positive,Ghar bethe excited price kese jette h apko PTA h kia
1658,Positive,Thank you for your kind words and your support really appreciate it how you support your team in difficult time
1659,Negative,News Badami Bagh sanihy per MQM ka NA se walkout
1660,Negative,Air land ke Juna Bair Nigtan aur Australia ke Jaif Hint Pakistan yon ke leay sakht hareef ban ker ubhre aur un ke orooj ke dino mein Pakistan almi ejaz sey kai salon tek mahroom raha
1661,Negative,Chair kam hai
1662,Negative,Landhi Sec 36B Me Guzishta Rat Se Bijli Gayab Bijli Na Hone Se Pani Ki Qillat Elaqa Makeen Pareshan Hukkam Se Notice Ki Apeal
1663,Positive,Bollywood ki ek flm PEHLA SITARA jo iltiwa ka shikar chali ja rahi hai ye ek choty budget ki film hai jis mein ek naye hero ke saath markazi kirdar ada kiya hai Adakara SONAL CHAUHANany ek interview mein kaha ke kamyabi ya nakami ye to zindgi ka hissa hai lekn bollywood mein career ka aghaz kamyab film se hona anyl iey aizaz samajhti hun
1664,Positive,Inho ne 62 baras mein shadi ka faisla karne se pehle yaqinan achi tarah ghaur o fikar kiya ho ga
1665,Positive,Allah pk apna khas karam kry in par
1666,Negative,Jin se inho ne lakhon dollars kharch kar ke jaan churai hai
1667,Negative,Pvt School Management Association 3 Aug Se Schools Kholnay Per Dati Hui Hai
1668,Negative,Baqaul Saeed Anwar agar ALLAH TA ALA mje apni taraf na bulate to mai shayad dewangi ki had tak ja pohanchta
1669,Positive,Tribunal ne apne faidley mein is haqiqat ka izhaar kiya ke Musalmano ne fasadaat mein jarhiyat nahi ki thi
1670,Positive,khair Mubarak g hazart Saab aap ko aur aap sari teem ubqari ko ALLAH aapne Hafez eaman main rakhey aap ko ta hayeet salamat rakhey border ALLAH bless you murshad g
1671,Positive,Baba e Mlolvi Abdul Haq ne Urdu zaban ki esi khidmat injam di jis ki missal dosri zaban ki tarikh mein nahi milti
1672,Negative,Guzara hy ye phone bsss
1673,Positive,Tumari shadi 2 saal baad hogi wo b achanak kisi czn se
1674,Negative,Army This is NOT a war this is genocide
1675,Negative,Mar ly tu bsss
1676,Negative,19 March 1994 ko is hasht pehlo shakhsiyat ne daarfani se kooch kia
1677,Positive,Shokat Khanum Me 70 Mareezo Ka Muft Elaj Hota Hai
1678,Negative,Keh hasil kuch nhi hota ksi ko azmaany se
1679,Positive,aunty bohat samjhdar lagi raheen
1680,Positive,Maroof actress model Mathira ne 2014 mien apni all rounder performance se showbiz ke mukhtalif shobon par raaj karne ka aelaan kar diya
1681,Positive,Sheikh saaab Allah pak ap ko khuss rakhy
1682,Positive,dil me khud aaka ho nala jm hai akbaal sjdo me pde rahna rahne se jnnat nahi milee yhi likha hai bahi
1683,Positive,Love u lhr
1684,Positive,Ahreee umeed Imran khan
1685,Positive,Logun k dil badalny k lye inka eik jumla kafi hi
1686,Negative,Alhamdulilah kia kruu tmhary sath rh kr ye halat ho gae mere
1687,Positive,aunty ka bhot bhot shukriya krdena meri trf se
1688,Positive,Amrica key saf e aual key khaelari Mark Talboot sey iss dauran inn ka 13 moqabla hua aur inn mein sey 12 mertaba Jahangir Khan ney kabyabi hasil ki
1689,Positive,Un ki tez nigah bohat jald mamle ki the tak pohanch jati aur wo fasla sunane mein takhir na karte the
1690,Positive,Un ka aik aur tarika ye tha ke muhale ke gharib gharanon ki das bara saal ki teen char bachyon ko apne han le atein aur un ki kafeel ban jatein
1691,Negative,Ek mint is se pehly indian movie channels khatam kardiye jain Is sahir ka to itna role hi nhi hai sahir lodhi ko kon dekha hy 1 cror log approx llekn indian movies aur dramas ko dekhny walon ki tadad 18 ya 19 cror hy to unko band kiya jaye sb se pehly Internet pr b ban lagaya jaye unho ny zada masla create kia hai
1692,Positive,Pak Afghan Sarhadi Elaqay Raajgal Sector Mein Fizai Karwai 2 Khudkush Bombaar Samait 15 Dehshat Gard Halak
1693,Positive,Boht khoob
1694,Negative,Yousaf Abdul Qadeer exactly geo bas ratings ki fikaar karta hai
1695,Negative,Pak Ko Ye Yad Rakhna Chahiye Ky Agar Bharat Ka Aman Mutasir Hoga To Cricket Nhy Hogi Says Anurag_Thakur
1696,Negative,Chagharzo Me Sowari Jany Wali Gadi Per Firing 5 Afrad Jan Sy Gaye Kai Zakhmi Donu Groupo Ka Taluq Zillah Shangla Sy He
1697,Negative,sara rat bat ka phara jo sir na phara ya wo khuch bhi aya
1698,Positive,Television ke nazreen mien wo actor ke sath sath bataur meyzban bhi boat maqbool the
1699,Positive,final mein bhi unhon ne bahot zaberdast khail ka mozahra keya megar un ke mamoon ne apne tajurbe sey faida uthate hue bazi jeet li
1700,Negative,Uss dour k sultan se koi bhul hoi hai
1701,Negative,Bc dekh tera status
1702,Negative,All Karachi Taajir Itehad Ki Aaj Honewali Hartal Ki MQM Ne Himayat Ka Elan Kardia
1703,Negative,I buy it dikhne me bilkul pic jesi he but fabric bht kharab or stitching very bad first time me hi silai khul gai or kapra bilkul dheela hogaya medium se large hogai very bad aybeez Read more
1704,Negative,Allah ham sub ko him at or gerat dye
1705,Positive,Buri bat achhy bchchy galiyan nhi dety
1706,Negative,Main ne Jo order kiya wo shirts mujhe nhi bejhi simple colour black green and white bejh di galat chezain dene lag Haya hai ye seller
1707,Positive,Shahrukh khan falahi kamon aur imdadi sargarmiyon mein bhi hissa lete hain
1708,Negative,Manzur khanzeer ka or us ka faltoo koto ka ilaj serf pak army hay
1709,Positive,Waise team ke logon ne to bohat tareef ki hai jis se mera hausla barha
1710,Positive,Is tarha District Court mein apni practice jari rakhte howae main ne senior Judge ke sath family laws par kafi kaam kiya
1711,Positive,Pakistan mein agarcha siyasi shakhsiyat siyasi utaar charhaho se mutassir hoti rehti hain lekin Pir Pagara ke siyasi asraat ko kabhi zawaal nahi aaya
1712,Positive,Ibtedah mein Raghib Murad Abadi ke samne zaanoey tilmiz tey kiya
1713,Negative,Yar still yhi haal h mera
1714,Negative,ShayAteen A Gae Maidaan may
1715,Positive,great inspiration
1716,Negative,Mulk mein khawateen ko beshumar mashi aur samaji masail ka samna hia
1717,Positive,Dj yar fees bht kum leta ha bary bary kamon key
1718,Negative,Yehi nahi bal ke paidaiysh ke waqt stallone ke face par scissor lagne ki wajah se face ka aik hissa waqti taur par maflooj ho gaya tha jis ke asraat aaj bhi in ki zabaan aur face ke aik taraf maujood hain
1719,Positive,Her insan per farz hai eid ki namaz se pahley pahley
1720,Positive,Dua kar day Allah mujay zati rahish atta farmay Ameen
1721,Positive,Muneeza our second day of eid D
1722,Positive,Billa akhir 1955 mein Inayat Hussain Bhatti ko film Heer mein hero ke tor par kaam karne ka muqa mila aur golokari ke sath sath un ki adakari ko bhi khasa saraha gaya
1723,Positive,Bohottttt Khubsurat he waqae Jo maza Wahan jakr dekhne mn he Wo ese nahi he Zindgi K Khubsurat lamhat the Wahan K Really missing Skd alot
1724,Negative,DG Rangers Bilal Akber Ne Hangami Ijlas Talab Kr Lia Mojuda Surat e Haal Ka Jaiza Lia Jayega Ijlas Mn Ahem Faisle Mutawaqa
1725,Negative,Or tum ho hi gandi nasal k
1726,Negative,Maflooj awam hai janab yeh ab
1727,Positive,Jinhe beyk waqt Urdu aur Punjabi films mein kamiyabi mili thi
1728,Negative,afghanstan boder ko seel karna chhahey wahan say teriorst aatay jaatay hai aur ain ko wahan say suport be miltey
1729,Negative,Ghalat hai yeh
1730,Positive,Mujhay iska print bohat pasand aya bohat nafees aur khubsurat print hai Kurit kay sath tasweer mein dekhaya black trouser bhi add karna chaye ismein
1731,Positive,MashAllah Allah buri nazer sy bchayn
1732,Negative,Nhi ho rha adjust
1733,Positive,jemama smith nay shadi say phelay Islam qaboul karliya tha in ka Islamic name jemama khan hai
1734,Positive,Mulk Me Dehshat Gardi K Tamam Networks Khatam Kar Diye Zarb e Azb Me Ab Tak 1914 Dehshat Gard Maray Gaye Wazir Dakhla Ch Nisar
1735,Positive,online b ap bat ho sakatay hain website par form fill kr k aur akhri ramzan k akhir main b online bait kiya jaye ga ap apne masyal k hal k lia har waqt ya musabibal asabab parhty rahain khula hazaron lakhon ki tadad main aur website se dars sunain 70 se 90 in sha ALLAH apkay masyal ALLAH hal kr de ga
1736,Negative,Imran Khan 3 Mahinay Ka Dharna De Saktay Hein To Hum 6 Mahinay Ka Dharna Den Ge
1737,Positive,Jo wife ko apni pay k mutabiq kharcha krae wohi kamyab mard hy
1738,Negative,Bht bura haal tha iska
1739,Positive,Allah aap ki Hifazat karay IK
1740,Negative,Bc paper mai he bhand na marr de
1741,Positive,HahahahahaH hansi ni ruk rai comment pardh k
1742,Positive,kamzor ankhon kay liay yeh bari achee aijaad hai Ankhon pe isko pehnn kay zorr kam parhta hai Lens ki quality bhee achee hai aur labay chalne ki umeed rakhta hoon kiunkay achi quality per mustamil hain yeh
1743,Negative,Badshah salamat si sir mujhe milay hain cheethray circuit k
1744,Positive,itny mazey se gari ti mein
1745,Positive,Hussain Abbas yaqeen se hi har wazeefa krti hon ab agy Allah ki marzi
1746,Negative,Ooh my God my dear I purchase same helmet from from market in just 2300 rupees Allh ka khouf kro
1747,Positive,Bilquis Edhi ke naam se kon waqif nahi
1748,Negative,aunty ne tumhari wo mari wo mari hy k maza aa gya 1 wari fair sheir aunty ummmmmmmmahhhhhhh
1749,Positive,Allah pak salmat rakhy ameen
1750,Positive,Allah pak hazrat ko Lambi umar De
1751,Negative,PM Nawaz Sharif Ka Chief Justice Ko Khat Justice Jawwad Se Bullet Proof Gaari Na Lainay K Faislay Per Nazar e Saani Ki Darkhwast
1752,Negative,Agar ham aram se ghar baithy tamasha daikhein ge tu phir khuda hi hafiz
1753,Positive,FIA Ka Chapa Facebook Par Khatoon Ke Naam Se Jaali ID Bana Kar Doosron Ko Bewaqoof Banane Wala Muhammad Sadiq Griftar
1754,Positive,Ubqari say meri zindage Badal gaye hai Allah tazbikhanay par apne rehmat ke badal barsaye or Allah hakeem sahab ko lambi omer naik amaal ke leye ataa farmaye Ameen
1755,Positive,1971 mein Sire county 13 saal bad county champion bani to us mein Intikhab Alam ki umdah bowling ka bhi dakhal tha
1756,Positive,Thakawat naam ki cheese se to who waqif hi nahein they
1757,Negative,Lakh lanat jahanmi
1758,Positive,Dabba Khali is liye ho ga kyun k tum kha chuki ho gi na
1759,Negative,CM Sindh K Shikway K Bad Sindh Govt K Khilaf NAB Or FIA Ko Karwai Se Rok Dia
1760,Negative,Noon league nay as usual Sirf credit khod Lia hai
1761,Negative,na kru yrr kinza my fvrt hy
1762,Negative,meri bal bht jhr gai hi or kafi gape aa gya hi aap aisa koi totka btai js si bal fr si aajai plz
1763,Negative,gnda shks hai hai ye
1764,Positive,Mar ja Tu ty ha e ni meri
1765,Positive,ama ko thanx kehna apni
1766,Positive,Mera dada ka bachpan ka ghar Bhati gate ke saamne bhi hai Yeh acha hai main paise kumar raha hun taake phone le lun iss saal
1767,Positive,Filhal to Bollywood ki aik film ke liye baat chal rahi hai us ka subject bohat acha hai aur yeh Deepti Navil ki film hai
1768,Positive,Jesi tumhri pasand wesi hi meri btw i like his hairstyle
1769,Positive,Tum Meray Dunya Me Ghaar K Sathi Aur Aakhrat Me Houz e Kausar K Bhi Sathi Aur Rafiq Ho Gay
1770,Negative,Amir liaqat ko ban kya jA sakta hAi Sahir ko nahi
1771,Negative,Dharnay hotai
1772,Positive,Inho ne Zia ul Haq ki Amriyat ke khilaf nazmein likhi jinhe bohat shohrat mili
1773,Negative,D ahan nAi nAi kachra rani to aAp pe suit karta ha
1774,Negative,In k demagh mein b kachra bhara howa h
1775,Positive,sach kaha ap nay Agree
1776,Positive,Main apne tamam fankar sathiyon ki izzat karti hon aur in ki shandar performance par in ko mubarakbad deti hon
1777,Negative,Molviown ka selaab jama awaam ka selaab nikalta
1778,Positive,Is baat par Reham Khan ne muskurate hue kaha
1779,Negative,Milna tumhen chahyey tha The real blackmailer awarddd
